facility_name,location_type,restroom_type,restroom_latitude,restroom_longitude,restroom_location,restroom_open,restroom_accessibility,restroom_changing_stations,restroom_status
Hippo Playground,Park,Multi-Stall W/M Restrooms,40.793376,-73.977999,"c(-73.977999, 40.793376)",Year Round,Not Accessible,0,1
Shore Parkway Gas Station,Park,,40.592538,-73.90824,"c(-73.90824, 40.592538)",Year Round,Unknown,0,1
Woodtree Playground,Park,Multi-Stall W/M Restrooms,40.777518,-73.902558,"c(-73.902558, 40.777518)",Year Round,Not Accessible,0,1
"Woodhaven Library, QPL",Library,Single-Stall All Gender Restroom(s),40.694539,-73.861459,"c(-73.861459, 40.694539)",Year Round,Unknown,1,1
Victory Field,Park,Multi-Stall W/M Restrooms,40.701305,-73.854524,"c(-73.854524, 40.701305)",Year Round,Not Accessible,0,1
"58th Street Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.762194,-73.969383,"c(-73.969383, 40.762194)",Year Round,Partially Accessible,0,1
"Macomb's Bridge Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.825536,-73.935349,"c(-73.935349, 40.825536)",Year Round,Fully Accessible,1,1
Bedford Playground,Park,Multi-Stall W/M Restrooms,40.708102,-73.96411,"c(-73.96411, 40.708102)",Year Round,Fully Accessible,0,1
Leif Ericson Park Playground,Park,Multi-Stall W/M Restrooms,40.631424,-74.012899,"c(-74.012899, 40.631424)",Year Round,Fully Accessible,0,1
Paerdegat Basin Marina 2,Park,,40.626089,-73.902536,"c(-73.902536, 40.626089)",Year Round,Unknown,0,0
Allen Shandler Recreation Area,Park,Multi-Stall W/M Restrooms,40.889946,-73.881306,"c(-73.881306, 40.889946)",Year Round,Fully Accessible,0,1
Dutch Kills Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.75774,-73.93347,"c(-73.93347, 40.75774)",Year Round,Fully Accessible,0,1
Ferry Terminal,Park,,40.71498,-74.01753,"c(-74.01753, 40.71498)",Year Round,Unknown,0,1
Cambria Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.688558,-73.742482,"c(-73.742482, 40.688558)",Year Round,Fully Accessible,0,1
"125th Street Library, NYPL",Library,,40.803026,-73.934849,"c(-73.934849, 40.803026)",Future,Unknown,0,0
Helen Marshall Playground,Park,Multi-Stall W/M Restrooms,40.765512,-73.87142,"c(-73.87142, 40.765512)",Year Round,Fully Accessible,0,1
"Morrisania Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.831271,-73.901795,"c(-73.901795, 40.831271)",Year Round,Fully Accessible,0,1
Captain Tilly Park,Park,Multi-Stall W/M Restrooms,40.711437,-73.798241,"c(-73.798241, 40.711437)",Unknown,Fully Accessible,0,0
Noble Playground,Park,Multi-Stall W/M Restrooms,40.836829,-73.87185,"c(-73.87185, 40.836829)",Year Round,Fully Accessible,0,1
Markham Playground,Park,Multi-Stall W/M Restrooms,40.62307,-74.146331,"c(-74.146331, 40.62307)",Year Round,Not Accessible,0,1
Jamaica LIRR Restroom,Transit,,40.699608,-73.808531,"c(-73.808531, 40.699608)",Year Round,Unknown,0,1
Refinery Building,Park,,40.714424,-73.967306,"c(-73.967306, 40.714424)",Year Round,Unknown,0,1
Jackie Robinson Playground,Park,Multi-Stall W/M Restrooms,40.665865,-73.958881,"c(-73.958881, 40.665865)",Year Round,Not Accessible,0,1
Devoe Park,Park,Multi-Stall W/M Restrooms,40.863685,-73.904919,"c(-73.904919, 40.863685)",Year Round,Fully Accessible,0,1
"Van Cortlandt Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.883625,-73.894476,"c(-73.894476, 40.883625)",Year Round,Fully Accessible,1,1
College Point Fields,Park,Multi-Stall W/M Restrooms,40.775824,-73.837265,"c(-73.837265, 40.775824)",Unknown,Fully Accessible,0,0
Park Slope Playground,Park,Multi-Stall W/M Restrooms,40.677033,-73.978523,"c(-73.978523, 40.677033)",Seasonal,Partially Accessible,0,1
Marine Park Zone 1,Park,Multi-Stall W/M Restrooms,40.607865,-73.937444,"c(-73.937444, 40.607865)",Year Round,Fully Accessible,0,1
Tappen Park,Park,,40.62661,-74.077841,"c(-74.077841, 40.62661)",Unknown,Unknown,0,0
"Soundview Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.818718,-73.862891,"c(-73.862891, 40.818718)",Year Round,Partially Accessible,0,1
Samuel Seabury Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.785462,-73.950985,"c(-73.950985, 40.785462)",Seasonal,Fully Accessible,0,1
"Ridgewood Library, QPL",Library,Single-Stall All Gender Restroom(s),40.705235,-73.90259,"c(-73.90259, 40.705235)",Year Round,Unknown,1,1
Millbrook Playground,Park,Multi-Stall W/M Restrooms,40.804343,-73.916974,"c(-73.916974, 40.804343)",Year Round,Fully Accessible,0,1
Chelsea Park,Park,Multi-Stall W/M Restrooms,40.749861,-74.000841,"c(-74.000841, 40.749861)",Year Round,Not Accessible,0,1
"Fresh Meadows Library, QPL",Library,Single-Stall All Gender Restroom(s),40.741591,-73.782283,"c(-73.782283, 40.741591)",Year Round,Unknown,1,1
Turtle Cove Driving Range,Park,,40.864417,-73.807479,"c(-73.807479, 40.864417)",Year Round,Unknown,0,0
Happy Warrior Playground,Park,Multi-Stall W/M Restrooms,40.795751,-73.968493,"c(-73.968493, 40.795751)",Year Round,Not Accessible,0,1
Bartlett Playground,Park,Multi-Stall W/M Restrooms,40.700712,-73.945955,"c(-73.945955, 40.700712)",Year Round,Fully Accessible,0,1
Classic Playground,Park,Multi-Stall W/M Restrooms,40.885195,-73.890643,"c(-73.890643, 40.885195)",Year Round,Fully Accessible,0,1
"Hunters Point Library, QPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.745269,-73.95796,"c(-73.95796, 40.745269)",Year Round,Unknown,1,1
People's Park,Park,Multi-Stall W/M Restrooms,40.809532,-73.917005,"c(-73.917005, 40.809532)",Year Round,Fully Accessible,0,1
Lozada Playground,Park,Multi-Stall W/M Restrooms,40.80783,-73.925081,"c(-73.925081, 40.80783)",Year Round,Fully Accessible,0,1
James Forten Playground,Park,Multi-Stall W/M Restrooms,40.676636,-73.965492,"c(-73.965492, 40.676636)",Year Round,Not Accessible,0,1
Inwood Hill Park Zone 2,Park,,40.87401,-73.920119,"c(-73.920119, 40.87401)",Unknown,Unknown,0,0
Bill Brown Playground,Park,Multi-Stall W/M Restrooms,40.59177,-73.945598,"c(-73.945598, 40.59177)",Year Round,Fully Accessible,0,1
FDR Boardwalk/South Beach Restroom,Park,,40.589204,-74.066453,"c(-74.066453, 40.589204)",Year Round,Unknown,0,1
William Sheridan Playground,Park,Multi-Stall W/M Restrooms,40.715271,-73.963972,"c(-73.963972, 40.715271)",Year Round,Not Accessible,0,1
Cunningham Park Zone 1,Park,Multi-Stall W/M Restrooms,40.726497,-73.773712,"c(-73.773712, 40.726497)",Unknown,Not Accessible,0,0
157 St Playground,Park,Multi-Stall W/M Restrooms,40.68455,-73.786145,"c(-73.786145, 40.68455)",Year Round,Not Accessible,0,1
Crotona Park Lake,Park,,40.83813,-73.893439,"c(-73.893439, 40.83813)",Year Round,Unknown,0,1
2 Lincoln Square POPS,Privately Owned Public Space,Single-Stall All Gender Restroom(s),40.773165,-73.981429,"c(-73.981429, 40.773165)",Year Round,Fully Accessible,1,1
Clintonville Playground,Park,Multi-Stall W/M Restrooms,40.783016,-73.806787,"c(-73.806787, 40.783016)",Seasonal,Fully Accessible,0,1
Union Square Park,Park,,40.736447,-73.98992,"c(-73.98992, 40.736447)",Year Round,Unknown,0,1
Brooklyn Bridge Park Pier 2 - Uplands,Park,,40.700859,-73.996308,"c(-73.996308, 40.700859)",Year Round,Fully Accessible,0,1
Daniel M. O'Connell Playground,Park,Multi-Stall W/M Restrooms,40.700187,-73.758243,"c(-73.758243, 40.700187)",Year Round,Fully Accessible,0,1
"Webster Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.770661,-73.951343,"c(-73.951343, 40.770661)",Year Round,Fully Accessible,1,1
Highland Park Zone 1,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.687504,-73.890115,"c(-73.890115, 40.687504)",Seasonal,Fully Accessible,0,1
Imagination Playground at Betsy Head,Park,Multi-Stall W/M Restrooms,40.664538,-73.911558,"c(-73.911558, 40.664538)",Year Round,Fully Accessible,0,1
Fort Washington Park Zone 2A,Park,Multi-Stall W/M Restrooms,40.847214,-73.946245,"c(-73.946245, 40.847214)",Year Round,Not Accessible,0,1
Nautilus Playground,Park,Multi-Stall W/M Restrooms,40.571723,-73.995922,"c(-73.995922, 40.571723)",Year Round,Not Accessible,0,1
Playground Ninety,Park,Multi-Stall W/M Restrooms,40.757278,-73.878311,"c(-73.878311, 40.757278)",Year Round,Not Accessible,0,1
"Douglaston-Little Neck Library, QPL",Library,Single-Stall All Gender Restroom(s),40.768234,-73.738231,"c(-73.738231, 40.768234)",Year Round,Unknown,1,1
"Seward Park Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.714418,-73.988502,"c(-73.988502, 40.714418)",Year Round,Fully Accessible,1,1
101st St. Soccer Field,Park,Multi-Stall W/M Restrooms,40.80055,-73.973315,"c(-73.973315, 40.80055)",Year Round,Not Accessible,0,1
Greencroft Playground,Park,Multi-Stall W/M Restrooms,40.552058,-74.136087,"c(-74.136087, 40.552058)",Year Round,Fully Accessible,0,1
Tall Oak Playground,Park,Multi-Stall W/M Restrooms,40.746342,-73.758265,"c(-73.758265, 40.746342)",Seasonal,Fully Accessible,0,1
"Ulmer Park Library, BPL",Library,Single-Stall All Gender Restroom(s),40.592693,-73.988629,"c(-73.988629, 40.592693)",Year Round,Fully Accessible,1,1
Ancient Playground,Park,Multi-Stall W/M Restrooms,40.780996,-73.961592,"c(-73.961592, 40.780996)",Year Round,Fully Accessible,0,1
Kissena Park Golf Course,Park,,40.744678,-73.799234,"c(-73.799234, 40.744678)",Year Round,Unknown,0,0
Downing Street Playground,Park,Multi-Stall W/M Restrooms,40.730022,-74.002938,"c(-74.002938, 40.730022)",Year Round,Fully Accessible,0,1
Tompkins Square Park,Park,Multi-Stall W/M Restrooms,40.726834,-73.981415,"c(-73.981415, 40.726834)",Unknown,Fully Accessible,0,0
Kelly Park Playground,Park,Multi-Stall W/M Restrooms,40.603675,-73.95756,"c(-73.95756, 40.603675)",Unknown,Not Accessible,0,0
Atlantic Ave Terminal LIRR Restroom,Transit,,40.684909,-73.977681,"c(-73.977681, 40.684909)",Year Round,Unknown,0,1
Conference House Park Zone 2,Park,,40.50228,-74.251685,"c(-74.251685, 40.50228)",Year Round,Unknown,0,1
McKinley Park Playground,Park,Multi-Stall W/M Restrooms,40.62657,-74.016733,"c(-74.016733, 40.62657)",Year Round,Not Accessible,0,1
Yellowstone Park,Park,Multi-Stall W/M Restrooms,40.726241,-73.847893,"c(-73.847893, 40.726241)",Year Round,Fully Accessible,0,1
"Bronx Library Center, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.862989,-73.894504,"c(-73.894504, 40.862989)",Year Round,Fully Accessible,0,1
Claremont Park Zone 3,Park,Multi-Stall W/M Restrooms,40.837672,-73.908021,"c(-73.908021, 40.837672)",Year Round,Fully Accessible,0,1
Chelsea Piers at Pier 61,Park,,40.748592,-74.008764,"c(-74.008764, 40.748592)",Year Round,Fully Accessible,0,1
Havemeyer Playground,Park,Multi-Stall W/M Restrooms,40.829983,-73.847942,"c(-73.847942, 40.829983)",Year Round,Fully Accessible,0,1
Crispus Attucks Playground,Park,Multi-Stall W/M Restrooms,40.681619,-73.959209,"c(-73.959209, 40.681619)",Year Round,Not Accessible,0,1
"Lefferts Library, QPL",Library,Single-Stall All Gender Restroom(s),40.686916,-73.824831,"c(-73.824831, 40.686916)",Year Round,Unknown,1,1
East River Park Zone 6,Park,Multi-Stall W/M Restrooms,40.723861,-73.972829,"c(-73.972829, 40.723861)",Unknown,Fully Accessible,0,0
"Pelham Parkway-Van Nest Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.854884,-73.864148,"c(-73.864148, 40.854884)",Year Round,Partially Accessible,0,1
Bendheim Playground,Park,Single-Stall All Gender Restroom(s),40.790397,-73.954565,"c(-73.954565, 40.790397)",Seasonal,Fully Accessible,0,1
Midland Playground,Park,Multi-Stall W/M Restrooms,40.574783,-74.098375,"c(-74.098375, 40.574783)",Year Round,Fully Accessible,0,1
Haggerty Park,Park,Multi-Stall W/M Restrooms,40.713141,-73.758102,"c(-73.758102, 40.713141)",Year Round,Fully Accessible,0,1
Harold Schneiderman Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.664748,-73.850434,"c(-73.850434, 40.664748)",Year Round,Fully Accessible,0,1
Playground,Park,Multi-Stall W/M Restrooms,40.881137,-73.900773,"c(-73.900773, 40.881137)",Year Round,Fully Accessible,0,1
Van Voorhees Playground,Park,Multi-Stall W/M Restrooms,40.689659,-73.999568,"c(-73.999568, 40.689659)",Year Round,Fully Accessible,0,1
Juniper North Playground Tennis Courts,Park,Multi-Stall W/M Restrooms,40.720668,-73.877441,"c(-73.877441, 40.720668)",Year Round,Not Accessible,0,1
Sachkerah Woods Playground,Park,Multi-Stall W/M Restrooms,40.883684,-73.881574,"c(-73.881574, 40.883684)",Year Round,Fully Accessible,0,1
"Wakefield Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.891093,-73.859583,"c(-73.859583, 40.891093)",Year Round,Fully Accessible,0,1
"Sedgwick Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.849453,-73.917496,"c(-73.917496, 40.849453)",Year Round,Fully Accessible,0,1
"Seaside Library, QPL",Library,Single-Stall All Gender Restroom(s),40.579413,-73.837748,"c(-73.837748, 40.579413)",Year Round,Unknown,1,0
"Dongan Hills Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.5904,-74.101139,"c(-74.101139, 40.5904)",Year Round,Fully Accessible,0,1
Underwood Park,Park,Multi-Stall W/M Restrooms,40.688567,-73.966747,"c(-73.966747, 40.688567)",Year Round,Fully Accessible,0,1
Midland Playground,Park,Multi-Stall W/M Restrooms,40.568327,-74.090816,"c(-74.090816, 40.568327)",Seasonal,Fully Accessible,0,1
P.O. Reinaldo Salgado Playground,Park,Multi-Stall W/M Restrooms,40.687911,-73.925463,"c(-73.925463, 40.687911)",Year Round,Not Accessible,0,1
Randall's Island Sunken Meadow,Park,,40.793028,-73.918977,"c(-73.918977, 40.793028)",Unknown,Unknown,0,0
Little Bay Park Zone 2,Park,Multi-Stall W/M Restrooms,40.790449,-73.782045,"c(-73.782045, 40.790449)",Year Round,Not Accessible,0,1
Stars & Stripes Playground,Park,Multi-Stall W/M Restrooms,40.885564,-73.839162,"c(-73.839162, 40.885564)",Year Round,Fully Accessible,0,1
Arlington Edinboro Playground,Park,Multi-Stall W/M Restrooms,40.820863,-73.946671,"c(-73.946671, 40.820863)",Year Round,Not Accessible,0,1
Admiral Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.770933,-73.73756,"c(-73.73756, 40.770933)",Year Round,Fully Accessible,0,1
"Macon Library, BPL",Library,Single-Stall All Gender Restroom(s),40.683013,-73.934807,"c(-73.934807, 40.683013)",Year Round,Fully Accessible,1,0
Ehrenreich-Austin Playground,Park,Multi-Stall W/M Restrooms,40.715791,-73.837044,"c(-73.837044, 40.715791)",Year Round,Not Accessible,0,1
Spuyten Duyvil Playground,Park,Multi-Stall W/M Restrooms,40.887153,-73.916236,"c(-73.916236, 40.887153)",Year Round,Fully Accessible,0,1
Wayanda Park,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.710861,-73.73901,"c(-73.73901, 40.710861)",Year Round,Fully Accessible,0,1
La Guardia Playground,Park,Multi-Stall W/M Restrooms,40.710572,-73.959819,"c(-73.959819, 40.710572)",Year Round,Fully Accessible,0,1
Quisqueya Playground,Park,Multi-Stall W/M Restrooms,40.84723,-73.931194,"c(-73.931194, 40.84723)",Unknown,Not Accessible,0,0
"South Ozone Park Library, QPL",Library,Single-Stall All Gender Restroom(s),40.674792,-73.809263,"c(-73.809263, 40.674792)",Year Round,Unknown,1,1
Kissena Park Zone 2 (Tennis Courts),Park,Multi-Stall W/M Restrooms,40.747266,-73.808605,"c(-73.808605, 40.747266)",Unknown,Not Accessible,0,0
"Eastern Parkway Library, BPL",Library,Single-Stall All Gender Restroom(s),40.668495,-73.933652,"c(-73.933652, 40.668495)",Year Round,Fully Accessible,1,1
Queens Valley Playground,Park,Multi-Stall W/M Restrooms,40.721908,-73.823947,"c(-73.823947, 40.721908)",Year Round,Not Accessible,0,1
Playground Sixty Two LXII,Park,Multi-Stall W/M Restrooms,40.736076,-73.852739,"c(-73.852739, 40.736076)",Year Round,Not Accessible,0,1
Meadow Lake North,Park,Multi-Stall W/M Restrooms,40.740671,-73.841211,"c(-73.841211, 40.740671)",Year Round,Fully Accessible,0,1
Major Deegan No. Gas Station,Park,,40.895123,-73.881497,"c(-73.881497, 40.895123)",Year Round,Unknown,0,1
"Walt Whitman Library, BPL",Library,Single-Stall All Gender Restroom(s),40.694498,-73.977734,"c(-73.977734, 40.694498)",Year Round,Fully Accessible,1,1
John Allen Payne Playground,Park,Multi-Stall W/M Restrooms,40.639783,-74.023575,"c(-74.023575, 40.639783)",Seasonal,Not Accessible,0,1
Seton Park Playground,Park,Multi-Stall W/M Restrooms,40.886167,-73.917071000000007,"c(-73.917071, 40.886167)",Year Round,Fully Accessible,0,1
"Broadway Library, QPL",Library,,40.758538,-73.918625,"c(-73.918625, 40.758538)",Year Round,Unknown,0,0
Carl Schurz Park Promenade,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.775711,-73.943904,"c(-73.943904, 40.775711)",Year Round,Fully Accessible,0,1
"Mariners Harbor Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.634702,-74.166583,"c(-74.166583, 40.634702)",Year Round,Fully Accessible,1,1
Cunningham Park Indoor Tennis,Park,,40.729396,-73.772786,"c(-73.772786, 40.729396)",Year Round,Unknown,0,1
Auburndale Playground,Park,Multi-Stall W/M Restrooms,40.765867,-73.794508,"c(-73.794508, 40.765867)",Year Round,Not Accessible,0,1
Hammel Playground,Park,Multi-Stall W/M Restrooms,40.588185,-73.809426,"c(-73.809426, 40.588185)",Unknown,Not Accessible,0,1
"Langston Hughes Library, QPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.757586,-73.868201,"c(-73.868201, 40.757586)",Year Round,Unknown,0,1
"Epiphany Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.738095,-73.98205,"c(-73.98205, 40.738095)",Year Round,Fully Accessible,1,1
"North Forest Park Library, QPL",Library,Single-Stall All Gender Restroom(s),40.711165,-73.853674,"c(-73.853674, 40.711165)",Year Round,Unknown,1,1
Beach 9th St. Playground,Park,Multi-Stall W/M Restrooms,40.595625,-73.744565,"c(-73.744565, 40.595625)",Seasonal,Not Accessible,0,1
Columbus Park,Park,,40.715914,-73.999816,"c(-73.999816, 40.715914)",Year Round,Unknown,0,1
"Bay Ridge Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.633634,-74.02954,"c(-74.02954, 40.633634)",Year Round,Fully Accessible,1,1
Silver Lake Golf Course,Park,,40.623055,-74.099068,"c(-74.099068, 40.623055)",Year Round,Unknown,0,0
Slattery Playground,Park,Multi-Stall W/M Restrooms,40.857148,-73.898224,"c(-73.898224, 40.857148)",Year Round,Fully Accessible,0,1
Berriman Playground,Park,Multi-Stall W/M Restrooms,40.656996,-73.869536,"c(-73.869536, 40.656996)",Year Round,Fully Accessible,0,1
Foster Park Zone 1,Park,Multi-Stall W/M Restrooms,40.831188,-73.92471,"c(-73.92471, 40.831188)",Year Round,Fully Accessible,0,1
"Poppenhusen Library, QPL",Library,Multi-Stall W/M Restrooms,40.786221,-73.846019,"c(-73.846019, 40.786221)",Year Round,Unknown,0,1
Railroad Playground,Park,Multi-Stall W/M Restrooms,40.64924,-73.914041,"c(-73.914041, 40.64924)",Year Round,Fully Accessible,0,1
Harmony Playground,Park,Multi-Stall W/M Restrooms,40.663406,-73.976656,"c(-73.976656, 40.663406)",Seasonal,Not Accessible,0,1
Mosholu Parkway Zone 4,Park,,40.868948,-73.88126,"c(-73.88126, 40.868948)",Unknown,Unknown,0,0
Vesuvio Playground,Park,Multi-Stall W/M Restrooms,40.725625,-74.002495,"c(-74.002495, 40.725625)",Seasonal,Fully Accessible,0,1
McCaffrey Playground,Park,Multi-Stall W/M Restrooms,40.759159,-73.99139,"c(-73.99139, 40.759159)",Year Round,Fully Accessible,0,1
Colonel David Marcus Playground,Park,Multi-Stall W/M Restrooms,40.61004,-73.969611,"c(-73.969611, 40.61004)",Year Round,Fully Accessible,0,1
Hilton White Playground,Park,Multi-Stall W/M Restrooms,40.82291,-73.90746,"c(-73.90746, 40.82291)",Year Round,Fully Accessible,0,1
Burns Playground,Park,Multi-Stall W/M Restrooms,40.862953,-73.836616,"c(-73.836616, 40.862953)",Year Round,Fully Accessible,0,1
Rev. Dr. Maggie Howard Playground,Park,Multi-Stall W/M Restrooms,40.62268,-74.079185,"c(-74.079185, 40.62268)",Year Round,Fully Accessible,0,1
Langston Hughes Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.812211,-73.946382,"c(-73.946382, 40.812211)",Year Round,Fully Accessible,0,1
Sunset Park Playground,Park,Multi-Stall W/M Restrooms,40.647683,-74.005022,"c(-74.005022, 40.647683)",Year Round,Fully Accessible,0,1
Fort Greene Park Zone 3,Park,,40.692232,-73.974733,"c(-73.974733, 40.692232)",Year Round,Unknown,0,1
Hudson River Park Pier 97 - Portaloo,Park,,40.771441,-73.995107,"c(-73.995107, 40.771441)",Year Round,Fully Accessible,0,1
Sol Bloom Playground,Park,Multi-Stall W/M Restrooms,40.789853,-73.968728,"c(-73.968728, 40.789853)",Year Round,Not Accessible,0,1
Dyckman Marina Restaurant,Park,,40.860769,-73.93276,"c(-73.93276, 40.860769)",Seasonal,Unknown,0,0
"Bayside Marina, Cross Is. Pkwy",Park,,40.779806,-73.767053,"c(-73.767053, 40.779806)",Seasonal,Unknown,0,1
Lyons Square Playground,Park,Multi-Stall W/M Restrooms,40.822626,-73.888339,"c(-73.888339, 40.822626)",Year Round,Fully Accessible,0,1
"Adams Street Library, BPL",Library,Single-Stall All Gender Restroom(s),40.704143,-73.987999,"c(-73.987999, 40.704143)",Year Round,Fully Accessible,1,1
Olinville Playground,Park,Multi-Stall W/M Restrooms,40.88433,-73.86701,"c(-73.86701, 40.88433)",Year Round,Fully Accessible,0,1
Eastchester Playground,Park,Multi-Stall W/M Restrooms,40.869776,-73.852701,"c(-73.852701, 40.869776)",Year Round,Fully Accessible,0,1
120 Park Avenue POPS,Privately Owned Public Space,Single-Stall All Gender Restroom(s),40.751936,-73.978306,"c(-73.978306, 40.751936)",Year Round,Fully Accessible,0,1
Alley Park,Park,Multi-Stall W/M Restrooms,40.746998,-73.745627,"c(-73.745627, 40.746998)",Year Round,Not Accessible,0,1
100% Playground,Park,Multi-Stall W/M Restrooms,40.64679,-73.899478,"c(-73.899478, 40.64679)",Year Round,Fully Accessible,0,1
Quarry Ballfields,Park,Multi-Stall W/M Restrooms,40.8502,-73.89,"c(-73.89, 40.8502)",Year Round,Fully Accessible,0,1
Rev J Polite Playground,Park,Multi-Stall W/M Restrooms,40.8269,-73.89781,"c(-73.89781, 40.8269)",Year Round,Fully Accessible,0,1
"Sunset Park Library, BPL",Library,Single-Stall All Gender Restroom(s),40.64592,-74.013631,"c(-74.013631, 40.64592)",Year Round,Partially Accessible,1,1
Houston St Playground,Park,Multi-Stall W/M Restrooms,40.722443,-73.991187,"c(-73.991187, 40.722443)",Year Round,Fully Accessible,0,1
Dean Playground,Park,Multi-Stall W/M Restrooms,40.680556,-73.972785,"c(-73.972785, 40.680556)",Year Round,Not Accessible,0,1
Manhattan Beach Zone 2,Park,Multi-Stall W/M Restrooms,40.576973,-73.944122,"c(-73.944122, 40.576973)",Seasonal,Fully Accessible,0,1
Bella Abzug Park,Park,,40.75632,-73.99974,"c(-73.99974, 40.75632)",Year Round,Unknown,0,1
"Phil ""Scooter"" Rizzuto Park",Park,Multi-Stall W/M Restrooms,40.694672,-73.821523,"c(-73.821523, 40.694672)",Year Round,Fully Accessible,0,1
Coney Island Beach Zone 5a,Park,Multi-Stall W/M Restrooms,40.572844,-73.980755,"c(-73.980755, 40.572844)",Year Round,Fully Accessible,0,1
Ethan Allen Playground,Park,Multi-Stall W/M Restrooms,40.655784,-73.886847,"c(-73.886847, 40.655784)",Unknown,Fully Accessible,0,0
"Auburndale Library, QPL",Library,Single-Stall All Gender Restroom(s),40.773755,-73.796343,"c(-73.796343, 40.773755)",Year Round,Unknown,1,1
174 St Playground,Park,Multi-Stall W/M Restrooms,40.693378,-73.778124,"c(-73.778124, 40.693378)",Year Round,Fully Accessible,0,1
Central Park Ice Rinks,Park,,40.767815,-73.97449,"c(-73.97449, 40.767815)",Year Round,Unknown,0,1
P.S. 279 Playground,Park,,40.644594,-73.893274,"c(-73.893274, 40.644594)",Year Round,Unknown,0,1
Ten Mile River Playground,Park,Multi-Stall W/M Restrooms,40.829819,-73.952661,"c(-73.952661, 40.829819)",Seasonal,Not Accessible,0,1
"Williamsburgh Library, BPL",Library,Single-Stall All Gender Restroom(s),40.706939,-73.957556,"c(-73.957556, 40.706939)",Year Round,Fully Accessible,1,1
"Washington Heights Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.834557,-73.939712,"c(-73.939712, 40.834557)",Year Round,Fully Accessible,1,1
Matthew P. Sapolin Playground,Park,Multi-Stall W/M Restrooms,40.777704,-73.984058,"c(-73.984058, 40.777704)",Year Round,Fully Accessible,0,1
Morningside Playground 123,Park,Multi-Stall W/M Restrooms,40.80998,-73.955946,"c(-73.955946, 40.80998)",Seasonal,Fully Accessible,0,1
Castlewood Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.749939,-73.720844,"c(-73.720844, 40.749939)",Year Round,Fully Accessible,0,1
Orchard Beach Pavilion,Park,,40.867182,-73.793846,"c(-73.793846, 40.867182)",Seasonal,Unknown,0,1
Edenwald Playground,Park,Multi-Stall W/M Restrooms,40.884092,-73.845163,"c(-73.845163, 40.884092)",Year Round,Fully Accessible,0,1
Maspeth Park,Park,Multi-Stall W/M Restrooms,40.730899,-73.925415,"c(-73.925415, 40.730899)",Year Round,Fully Accessible,0,1
Brooklyn Bridge Park Pier 5 - Boathouse/Uplands,Park,,40.695841,-73.999127,"c(-73.999127, 40.695841)",Year Round,Fully Accessible,0,1
Mellett Playground,Park,Multi-Stall W/M Restrooms,40.597078,-73.957392,"c(-73.957392, 40.597078)",Year Round,Not Accessible,0,1
Van Cortlandt Park Stables,Park,,40.901041,-73.894743,"c(-73.894743, 40.901041)",Year Round,Unknown,0,0
Bildersee Playground,Park,Multi-Stall W/M Restrooms,40.635952,-73.912189,"c(-73.912189, 40.635952)",Year Round,Fully Accessible,0,1
Marine Park Zone 6,Park,,40.604007,-73.930594,"c(-73.930594, 40.604007)",Year Round,Unknown,0,1
Robert E. Venable Park,Park,Multi-Stall W/M Restrooms,40.674409,-73.865074,"c(-73.865074, 40.674409)",Year Round,Fully Accessible,0,1
"Countee Cullen Library, NYPL",Library,,40.814844,-73.941162,"c(-73.941162, 40.814844)",Future,Unknown,0,0
Playground For All Children,Park,Multi-Stall W/M Restrooms,40.74089,-73.84951,"c(-73.84951, 40.74089)",Seasonal,Not Accessible,0,1
Mosholu Golf Course,Park,,40.887057,-73.884205,"c(-73.884205, 40.887057)",Year Round,Unknown,0,0
Bayswater Playground,Park,Multi-Stall W/M Restrooms,40.598771,-73.767504,"c(-73.767504, 40.598771)",Year Round,Fully Accessible,0,1
