facility_name,location_type,restroom_type,restroom_latitude,restroom_longitude,restroom_location,restroom_open,restroom_accessibility,restroom_changing_stations,restroom_status
Schmidts Lane Recreation Fac.,Park,,40.609563,-74.119642,"c(-74.119642, 40.609563)",Seasonal,Unknown,0,0
Sara D. Roosevelt Park,Park,Multi-Stall W/M Restrooms,40.718813,-73.993045,"c(-73.993045, 40.718813)",Year Round,Fully Accessible,0,1
"Briarwood Library, QPL",Library,Single-Stall All Gender Restroom(s),40.710043,-73.819454,"c(-73.819454, 40.710043)",Year Round,Unknown,1,1
"Queensbridge Tech Lab Library, QPL",Library,Single-Stall All Gender Restroom(s),40.754953,-73.944111,"c(-73.944111, 40.754953)",Year Round,Unknown,0,1
Jaime Campiz Playground,Park,Multi-Stall W/M Restrooms,40.713438,-73.954456,"c(-73.954456, 40.713438)",Year Round,Fully Accessible,0,1
East Parade Grounds,Park,Multi-Stall W/M Restrooms,40.650803,-73.968193,"c(-73.968193, 40.650803)",Seasonal,Not Accessible,0,1
Poppenhusen Playground,Park,Multi-Stall W/M Restrooms,40.781418,-73.844513,"c(-73.844513, 40.781418)",Year Round,Not Accessible,0,1
Mazzei Playground,Park,Multi-Stall W/M Restrooms,40.862511,-73.858204,"c(-73.858204, 40.862511)",Year Round,Fully Accessible,0,1
Playground Seventy Five,Park,Multi-Stall W/M Restrooms,40.726381,-73.808427,"c(-73.808427, 40.726381)",Year Round,Not Accessible,0,1
227th Street Playground,Park,Multi-Stall W/M Restrooms,40.890828,-73.864062,"c(-73.864062, 40.890828)",Year Round,Fully Accessible,0,1
Pat Parlato Playground,Park,Multi-Stall W/M Restrooms,40.577023,-73.946194,"c(-73.946194, 40.577023)",Year Round,Partially Accessible,0,1
Steeplechase Park Carousel,Park,,40.573119,-73.983244,"c(-73.983244, 40.573119)",Seasonal,Unknown,0,1
Columbus Park,Park,Multi-Stall W/M Restrooms,40.714862,-74.000058,"c(-74.000058, 40.714862)",Year Round,Fully Accessible,0,1
London Planetree Playground,Park,Multi-Stall W/M Restrooms,40.685916,-73.853136,"c(-73.853136, 40.685916)",Year Round,Partially Accessible,0,1
"Eastchester Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.870148,-73.845066,"c(-73.845066, 40.870148)",Year Round,Fully Accessible,0,1
Henry Hudson Park,Park,Multi-Stall W/M Restrooms,40.881056,-73.920604,"c(-73.920604, 40.881056)",Year Round,Fully Accessible,0,1
Walter Gladwin Park,Park,,40.846448,-73.89598,"c(-73.89598, 40.846448)",Unknown,Unknown,0,0
Hudson Beach Volleyball Courts & Café,Park,,40.802584,-73.971885,"c(-73.971885, 40.802584)",Seasonal,Unknown,0,1
Horatio Playground,Park,Multi-Stall W/M Restrooms,40.758782,-73.753965,"c(-73.753965, 40.758782)",Year Round,Not Accessible,0,1
Tiffany Playground,Park,Multi-Stall W/M Restrooms,40.824764,-73.894346,"c(-73.894346, 40.824764)",Year Round,Fully Accessible,0,1
Silver Lake Park Playground,Park,Multi-Stall W/M Restrooms,40.628284,-74.099015,"c(-74.099015, 40.628284)",Year Round,Not Accessible,0,1
Bushwick Inlet Park,Park,,40.721922,-73.960598,"c(-73.960598, 40.721922)",Year Round,Unknown,0,1
Kennedy King Playground,Park,Multi-Stall W/M Restrooms,40.658699,-73.921767,"c(-73.921767, 40.658699)",Year Round,Fully Accessible,0,1
Coney Island Beach Zone 5b,Park,Multi-Stall W/M Restrooms,40.572596,-73.983135,"c(-73.983135, 40.572596)",Seasonal,Fully Accessible,0,1
Reiff Playground,Park,Multi-Stall W/M Restrooms,40.718855,-73.901937,"c(-73.901937, 40.718855)",Year Round,Fully Accessible,0,1
"Belmont Library and Enrico Fermi Cultural Center, NYPL",Library,Single-Stall All Gender Restroom(s),40.854353,-73.887884,"c(-73.887884, 40.854353)",Year Round,Fully Accessible,0,1
"Rugby Library, BPL",Library,Single-Stall All Gender Restroom(s),40.648628,-73.930358,"c(-73.930358, 40.648628)",Year Round,Fully Accessible,0,1
Rockaway Beach 08a,Park,Multi-Stall W/M Restrooms,40.577933,-73.83522,"c(-73.83522, 40.577933)",Seasonal,Partially Accessible,0,1
"New Amsterdam Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.713585,-74.007871,"c(-74.007871, 40.713585)",Year Round,Fully Accessible,1,1
Mathews-Palmer Playground,Park,Multi-Stall W/M Restrooms,40.761216,-73.992945,"c(-73.992945, 40.761216)",Year Round,Not Accessible,0,1
College Point Blvd Ballfields,Park,Multi-Stall W/M Restrooms,40.741924,-73.847963,"c(-73.847963, 40.741924)",Year Round,Not Accessible,0,1
Midland Beach Zone 4,Park,,40.573949,-74.083588,"c(-74.083588, 40.573949)",Seasonal,Unknown,0,1
Hutchinson River Parkway Gas,Park,,40.836702,-73.838373,"c(-73.838373, 40.836702)",Year Round,Unknown,0,1
John Jay Park,Park,,40.769097,-73.949062,"c(-73.949062, 40.769097)",Year Round,Unknown,0,1
"Francis Martin Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.85743,-73.909318,"c(-73.909318, 40.85743)",Year Round,Fully Accessible,0,1
Carl Schurz Park Main Lawn,Park,Multi-Stall W/M Restrooms,40.773579,-73.945039,"c(-73.945039, 40.773579)",Year Round,Partially Accessible,0,1
Locust Manor Playground,Park,Multi-Stall W/M Restrooms,40.685926,-73.756171,"c(-73.756171, 40.685926)",Year Round,Not Accessible,0,1
Holy Cow Playground,Park,Multi-Stall W/M Restrooms,40.741371,-73.776439,"c(-73.776439, 40.741371)",Seasonal,Not Accessible,0,1
"Mulberry Street Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.724148,-73.995686,"c(-73.995686, 40.724148)",Future,Fully Accessible,0,0
Clark Playground,Park,Multi-Stall W/M Restrooms,40.813973,-73.921217,"c(-73.921217, 40.813973)",Year Round,Fully Accessible,0,1
Elmhurst Park,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.730523,-73.885101,"c(-73.885101, 40.730523)",Year Round,Fully Accessible,0,1
North Meadow Recreation Center,Park,,40.79115,-73.959598,"c(-73.959598, 40.79115)",Year Round,Unknown,0,1
Lanett Playground,Park,Multi-Stall W/M Restrooms,40.599303,-73.744247,"c(-73.744247, 40.599303)",Year Round,Fully Accessible,0,1
Fulton Park,Park,Multi-Stall W/M Restrooms,40.679792,-73.931616,"c(-73.931616, 40.679792)",Year Round,Partially Accessible,0,1
Pelham Bay Stable,Park,,40.865923,-73.813975,"c(-73.813975, 40.865923)",Year Round,Unknown,0,1
Hamilton Metz Field,Park,Multi-Stall W/M Restrooms,40.662623,-73.94066,"c(-73.94066, 40.662623)",Year Round,Not Accessible,0,1
"Pier 57 - Ground Floor, Rooftop",Park,,40.74354,-74.010294,"c(-74.010294, 40.74354)",Year Round,Fully Accessible,0,1
Levy Playground,Park,Multi-Stall W/M Restrooms,40.633805,-74.129123,"c(-74.129123, 40.633805)",Year Round,Fully Accessible,0,1
Taylor Playground,Park,Multi-Stall W/M Restrooms,40.839018,-73.866165,"c(-73.866165, 40.839018)",Year Round,Fully Accessible,0,1
Gorman Playground,Park,Multi-Stall W/M Restrooms,40.761939,-73.884157,"c(-73.884157, 40.761939)",Year Round,Not Accessible,0,1
"New Dorp Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.57194,-74.11196,"c(-74.11196, 40.57194)",Year Round,Fully Accessible,1,1
Rockaway Community Playground,Park,,40.5983,-73.784843,"c(-73.784843, 40.5983)",Unknown,Unknown,0,0
Rockaway Beach 06b,Park,,40.58297,-73.817549,"c(-73.817549, 40.58297)",Seasonal,Unknown,0,1
Ferry Point Park Zone 4,Park,Multi-Stall W/M Restrooms,40.820172,-73.826275999999993,"c(-73.826276, 40.820172)",Year Round,Fully Accessible,0,1
McDonald Playground,Park,Multi-Stall W/M Restrooms,40.601157,-73.97217,"c(-73.97217, 40.601157)",Year Round,Not Accessible,0,1
Potomac Playground,Park,Multi-Stall W/M Restrooms,40.682054,-73.944239,"c(-73.944239, 40.682054)",Year Round,Not Accessible,0,1
575 Fifth Avenue POPS,Privately Owned Public Space,Multi-Stall W/M Restrooms,40.756276,-73.978243,"c(-73.978243, 40.756276)",Year Round,Fully Accessible,1,1
"Spring Creek Library, BPL",Library,Single-Stall All Gender Restroom(s),40.653218,-73.885868,"c(-73.885868, 40.653218)",Year Round,Fully Accessible,1,1
"Middle Village Library, QPL",Library,Single-Stall All Gender Restroom(s),40.712942,-73.880861,"c(-73.880861, 40.712942)",Year Round,Unknown,1,1
Schmul Park,Park,Multi-Stall W/M Restrooms,40.590111,-74.187877,"c(-74.187877, 40.590111)",Year Round,Fully Accessible,0,1
"DeKalb Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.694825,-73.9284,"c(-73.9284, 40.694825)",Year Round,Partially Accessible,1,1
Queensboro Oval Indoor Tennis,Park,,40.759246,-73.960029,"c(-73.960029, 40.759246)",Seasonal,Unknown,0,1
"McGoldrick Library, QPL",Library,Multi-Stall All Gender Restrooms,40.763759,-73.809835,"c(-73.809835, 40.763759)",Year Round,Unknown,0,1
Fulton St (A-C) MTA Restroom,Transit,,40.710532,-74.009096,"c(-74.009096, 40.710532)",Year Round,Unknown,0,1
De Hostos Playground,Park,,40.702544,-73.949544,"c(-73.949544, 40.702544)",Unknown,Unknown,0,0
McLaughlin Park,Park,Multi-Stall W/M Restrooms,40.696674,-73.986049,"c(-73.986049, 40.696674)",Year Round,Not Accessible,0,1
Mt Prospect Park Playground,Park,Multi-Stall W/M Restrooms,40.672159,-73.965872,"c(-73.965872, 40.672159)",Seasonal,Not Accessible,0,1
Magenta Playground,Park,Multi-Stall W/M Restrooms,40.87355,-73.867834,"c(-73.867834, 40.87355)",Year Round,Fully Accessible,0,1
Cunningham Park Zone 1,Park,Multi-Stall W/M Restrooms,40.726692,-73.775443,"c(-73.775443, 40.726692)",Year Round,Fully Accessible,0,1
Lower Highland Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.684039,-73.885802,"c(-73.885802, 40.684039)",Year Round,Fully Accessible,0,1
"Saratoga Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.684818,-73.915134,"c(-73.915134, 40.684818)",Year Round,Fully Accessible,1,1
"Borough Park Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.638897,-73.989005,"c(-73.989005, 40.638897)",Year Round,Partially Accessible,1,1
P.S. 155 Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.797535,-73.935336,"c(-73.935336, 40.797535)",Unknown,Fully Accessible,0,0
Rockaway Beach 07b,Park,Multi-Stall W/M Restrooms,40.580565,-73.826117,"c(-73.826117, 40.580565)",Seasonal,Not Accessible,0,1
"Arverne Library, QPL",Library,Single-Stall All Gender Restroom(s),40.593155,-73.784041,"c(-73.784041, 40.593155)",Year Round,Unknown,1,1
Bowne Playground,Park,Multi-Stall W/M Restrooms,40.770424,-73.806335,"c(-73.806335, 40.770424)",Seasonal,Fully Accessible,0,1
Alice Kornegay Triangle,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.806548,-73.935583,"c(-73.935583, 40.806548)",Year Round,Fully Accessible,0,1
"Ozone Park Library, QPL",Library,Single-Stall All Gender Restroom(s),40.680875,-73.84649,"c(-73.84649, 40.680875)",Year Round,Unknown,1,1
Bensonhurst Indoor Tennis,Park,,40.595081,-74.001441,"c(-74.001441, 40.595081)",Year Round,Unknown,0,1
"Bloomingdale Library, NYPL",Library,Multi-Stall All Gender Restrooms,40.795882,-73.967608,"c(-73.967608, 40.795882)",Year Round,Fully Accessible,0,1
Willowbrook Park Recreational Area,Park,Multi-Stall W/M Restrooms,40.604166,-74.158609,"c(-74.158609, 40.604166)",Year Round,Fully Accessible,0,1
Raymond OConnor Park,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.771005,-73.779037,"c(-73.779037, 40.771005)",Year Round,Fully Accessible,0,1
St. Michael's Playground,Park,Multi-Stall W/M Restrooms,40.758313,-73.900281,"c(-73.900281, 40.758313)",Unknown,Not Accessible,0,0
Ten Eyck Playground,Park,Multi-Stall W/M Restrooms,40.709027,-73.938911,"c(-73.938911, 40.709027)",Year Round,Not Accessible,0,1
"Long Island City Library, QPL",Library,Single-Stall All Gender Restroom(s),40.757812,-73.939311,"c(-73.939311, 40.757812)",Year Round,Unknown,1,1
Dyckman Street Marina,Park,,40.868615,-73.932281,"c(-73.932281, 40.868615)",Seasonal,Unknown,0,0
Sobelsohn Park,Park,Multi-Stall W/M Restrooms,40.709864,-73.835451,"c(-73.835451, 40.709864)",Year Round,Fully Accessible,0,1
"Riverdale Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.903731,-73.902774,"c(-73.902774, 40.903731)",Year Round,Fully Accessible,0,1
"Carroll Gardens Library, BPL",Library,Single-Stall All Gender Restroom(s),40.683222,-73.99802,"c(-73.99802, 40.683222)",Year Round,Fully Accessible,1,0
Paerdegat Park,Park,Multi-Stall W/M Restrooms,40.638066,-73.938139,"c(-73.938139, 40.638066)",Year Round,Fully Accessible,0,1
Hunter's Point South Park Zone 1,Park,,40.741975,-73.96084,"c(-73.96084, 40.741975)",Year Round,Unknown,0,1
Abraham Lincoln Playground,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.812282,-73.937099,"c(-73.937099, 40.812282)",Year Round,Fully Accessible,0,1
"Queens Central Library, QPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.707881,-73.794679,"c(-73.794679, 40.707881)",Year Round,Unknown,1,1
Battery Park Zone 1,Park,,40.704414,-74.015876,"c(-74.015876, 40.704414)",Year Round,Unknown,0,1
Carnegie Playground,Park,Multi-Stall W/M Restrooms,40.71599,-73.93732,"c(-73.93732, 40.71599)",Year Round,Fully Accessible,0,1
Colden Playground,Park,Multi-Stall W/M Restrooms,40.770148,-73.827043,"c(-73.827043, 40.770148)",Seasonal,Not Accessible,0,1
"Terence Cardinal Cooke-Cathedral Library, NYPL",Library,,40.756811,-73.972542,"c(-73.972542, 40.756811)",Unknown,Unknown,0,0
Friends Field,Park,Multi-Stall W/M Restrooms,40.618665,-73.97202,"c(-73.97202, 40.618665)",Year Round,Fully Accessible,0,1
Dimattina Playground,Park,Multi-Stall W/M Restrooms,40.680473,-74.00194,"c(-74.00194, 40.680473)",Year Round,Not Accessible,0,1
Waring Playground,Park,Multi-Stall W/M Restrooms,40.860617,-73.871241,"c(-73.871241, 40.860617)",Year Round,Fully Accessible,0,1
