division,line,station_name,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry
IRT,White Plains Road,238th St-Nereid Av,Stair,YES,FULL,FALSE,TRUE,"(40.898379, -73.854376)","c(-73.854376, 40.898379)"
IRT,White Plains Road,Allerton Av,Stair,YES,FULL,FALSE,TRUE,"(40.865462, -73.867352)","c(-73.867352, 40.865462)"
IRT,White Plains Road,Bronx Park East,Stair,YES,FULL,FALSE,TRUE,"(40.848828, -73.868457)","c(-73.868457, 40.848828)"
IRT,White Plains Road,Burke Av,Stair,YES,FULL,FALSE,TRUE,"(40.871356, -73.867164)","c(-73.867164, 40.871356)"
IRT,White Plains Road,East 180th St,Door,YES,FULL,FALSE,TRUE,"(40.841894, -73.873488)","c(-73.873488, 40.841894)"
IRT,White Plains Road,East Tremont Av-West Farms Sq,Escalator,YES,FULL,FALSE,TRUE,"(40.840295, -73.880049)","c(-73.880049, 40.840295)"
IRT,White Plains Road,Freeman St,Stair,YES,FULL,FALSE,FALSE,"(40.829993, -73.891865)","c(-73.891865, 40.829993)"
IRT,White Plains Road,Intervale Av,Escalator,YES,FULL,FALSE,TRUE,"(40.822181, -73.896736)","c(-73.896736, 40.822181)"
IRT,White Plains Road,Jackson Av,Stair,YES,FULL,FALSE,FALSE,"(40.81649, -73.907807)","c(-73.907807, 40.81649)"
IRT,White Plains Road,Simpson St,Elevator,YES,FULL,TRUE,FALSE,"(40.824073, -73.893064)","c(-73.893064, 40.824073)"
IRT,White Plains Road,Wakefield-241st St,Stair,YES,FULL,FALSE,TRUE,"(40.903125, -73.85062)","c(-73.85062, 40.903125)"
IRT,Flushing,34 St Hudson Yards,Elevator,YES,FULL,TRUE,TRUE,"(40.755882, -74.00191)","c(-74.00191, 40.755882)"
